Time,Raw_PosZ,SE_Roll,SE_Pitch,vBody_X,FF_ForceZ_FR,FF_ForceX_FR,Tau_Hip_FR
18.8600,0.0234,0.0000,-0.0077,0.0000,0.0000,0.0000,0.0000
18.8650,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18.8700,0.0234,0.0000,-0.0075,-0.0031,0.0000,0.0000,1.5039
18.8750,0.0235,-0.0000,-0.0073,-0.0062,-120.8771,60.4386,-7.0798
18.8800,0.0239,-0.0005,-0.0079,0.0103,-120.8771,60.4386,-7.2379
18.8850,0.0238,-0.0009,-0.0076,-0.0184,-125.8585,62.9293,-8.1166
18.8900,0.0235,-0.0011,-0.0063,-0.0483,-125.8585,62.9293,-8.0825
18.8950,0.0231,-0.0006,-0.0043,-0.0775,-120.4497,60.2249,-7.9532
18.9000,0.0227,0.0006,-0.0015,-0.1042,-120.4497,60.2249,-7.8336
18.9050,0.0224,0.0031,0.0016,-0.1252,-117.8891,57.7103,-8.0837
18.9100,0.0221,0.0066,0.0049,-0.1442,-117.8891,57.7103,-7.8179
18.9150,0.0218,0.0120,0.0084,-0.1603,-0.0000,-0.0000,0.7924
18.9200,0.0216,0.0187,0.0119,-0.1779,-0.0000,-0.0000,1.0113
18.9250,0.0217,0.0244,0.0150,-0.1730,0.0000,0.0000,1.9289
18.9300,0.0219,0.0288,0.0180,-0.1723,0.0000,0.0000,2.9793
18.9350,0.0224,0.0290,0.0209,-0.1910,0.0000,0.0000,3.0839
18.9400,0.0233,0.0256,0.0237,-0.2093,0.0000,0.0000,2.4157
18.9450,0.0247,0.0207,0.0267,-0.2255,0.0000,0.0000,1.2563
18.9500,0.0262,0.0147,0.0298,-0.2377,0.0000,0.0000,-0.1123
18.9550,0.0272,0.0086,0.0328,-0.2429,0.0000,0.0000,-0.8496
18.9600,0.0270,0.0026,0.0354,-0.2456,0.0000,0.0000,-0.8615
18.9650,0.0255,-0.0039,0.0375,-0.2471,0.0000,0.0000,-0.2869
18.9700,0.0228,-0.0110,0.0394,-0.2515,0.0000,0.0000,0.9324
18.9750,0.0227,-0.0164,0.0404,-0.2426,-109.7914,34.4508,-9.2096
18.9800,0.0237,-0.0202,0.0412,-0.2415,-109.7914,34.4508,-9.3913
18.9850,0.0241,-0.0203,0.0421,-0.2593,-125.5841,33.6972,-8.3791
18.9900,0.0240,-0.0179,0.0435,-0.2763,-125.5841,33.6972,-7.8941
18.9950,0.0236,-0.0140,0.0452,-0.2916,-123.3699,28.6103,-7.1080
19.0000,0.0232,-0.0091,0.0470,-0.3027,-123.3699,28.6103,-6.8193
19.0050,0.0228,-0.0041,0.0486,-0.3084,-123.5511,26.7035,-8.0918
19.0100,0.0225,0.0008,0.0500,-0.3120,-123.5511,26.7035,-7.9603
19.0150,0.0222,0.0064,0.0508,-0.3148,-0.0000,-0.0000,0.8792
19.0200,0.0220,0.0129,0.0514,-0.3201,-0.0000,-0.0000,0.9929
19.0250,0.0220,0.0182,0.0517,-0.3148,0.0000,0.0000,1.9108
19.0300,0.0223,0.0224,0.0522,-0.3146,0.0000,0.0000,3.0155
19.0350,0.0228,0.0228,0.0525,-0.3255,0.0000,0.0000,3.2709
19.0400,0.0239,0.0198,0.0526,-0.3373,0.0000,0.0000,2.7542
19.0450,0.0256,0.0141,0.0524,-0.3440,0.0000,0.0000,1.5595
19.0500,0.0275,0.0080,0.0526,-0.3505,0.0000,0.0000,0.2014
19.0550,0.0291,0.0025,0.0529,-0.3528,0.0000,0.0000,-0.5385
19.0600,0.0296,-0.0023,0.0531,-0.3529,0.0000,0.0000,-0.5209
19.0650,0.0286,-0.0072,0.0532,-0.3527,0.0000,0.0000,0.1231
19.0700,0.0264,-0.0124,0.0532,-0.3548,0.0000,0.0000,1.4113
19.0750,0.0234,-0.0169,0.0532,-0.3499,-114.2727,20.1080,-9.1303
19.0800,0.0231,-0.0199,0.0529,-0.3482,-114.2727,20.1080,-9.5934
19.0850,0.0229,-0.0198,0.0525,-0.3577,-129.5287,18.3613,-9.1594
19.0900,0.0227,-0.0165,0.0518,-0.3662,-129.5287,18.3613,-8.5955
19.0950,0.0224,-0.0108,0.0508,-0.3708,-117.6285,14.8298,-4.4996
19.1000,0.0222,-0.0052,0.0500,-0.3762,-117.6285,14.8298,-4.3498
19.1050,0.0220,-0.0003,0.0496,-0.3790,-114.5255,16.6115,-6.4798
19.1100,0.0218,0.0036,0.0492,-0.3801,-114.5255,16.6115,-6.5377
19.1150,0.0217,0.0077,0.0487,-0.3809,-0.0000,-0.0000,0.6311
19.1200,0.0216,0.0121,0.0482,-0.3835,-0.0000,-0.0000,0.6626
19.1250,0.0217,0.0156,0.0478,-0.3805,0.0000,0.0000,1.7057
19.1300,0.0220,0.0184,0.0476,-0.3813,0.0000,0.0000,2.9024
19.1350,0.0226,0.0199,0.0477,-0.3853,0.0000,0.0000,3.3739
19.1400,0.0238,0.0178,0.0473,-0.3912,0.0000,0.0000,3.0343
19.1450,0.0257,0.0129,0.0462,-0.3946,0.0000,0.0000,1.9640
19.1500,0.0279,0.0075,0.0454,-0.3975,0.0000,0.0000,0.6702
19.1550,0.0299,0.0025,0.0449,-0.3980,0.0000,0.0000,-0.0745
19.1600,0.0309,-0.0017,0.0444,-0.3963,0.0000,0.0000,-0.1212
19.1650,0.0307,-0.0058,0.0439,-0.3948,0.0000,0.0000,0.4324
19.1700,0.0292,-0.0098,0.0434,-0.3953,0.0000,0.0000,1.6332
19.1750,0.0269,-0.0130,0.0430,-0.3921,-109.9099,14.4709,-8.3402
19.1800,0.0246,-0.0157,0.0427,-0.3928,-109.9099,14.4709,-8.4953
19.1850,0.0187,-0.0172,0.0428,-0.3971,-132.8913,10.1071,-8.4674
19.1900,0.0159,-0.0154,0.0423,-0.4026,-132.8913,10.1071,-8.4426
19.1950,0.0148,-0.0107,0.0411,-0.4061,-110.6910,7.8614,-4.1004
19.2000,0.0146,-0.0056,0.0404,-0.4090,-110.6910,7.8614,-4.0392
19.2050,0.0149,-0.0008,0.0399,-0.4101,-103.8178,10.5143,-5.5326
19.2100,0.0154,0.0032,0.0396,-0.4090,-103.8178,10.5143,-5.5935
19.2150,0.0161,0.0072,0.0392,-0.4080,-0.0000,-0.0000,0.5481
19.2200,0.0167,0.0112,0.0390,-0.4086,-0.0000,-0.0000,0.5315
19.2250,0.0175,0.0145,0.0388,-0.4063,0.0000,0.0000,1.6086
19.2300,0.0184,0.0170,0.0388,-0.4074,0.0000,0.0000,2.8844
19.2350,0.0195,0.0183,0.0390,-0.4094,0.0000,0.0000,3.4276
19.2400,0.0212,0.0163,0.0385,-0.4130,0.0000,0.0000,3.1787
19.2450,0.0236,0.0114,0.0373,-0.4152,0.0000,0.0000,2.1851
19.2500,0.0264,0.0063,0.0365,-0.4169,0.0000,0.0000,0.9828
19.2550,0.0291,0.0016,0.0360,-0.4177,0.0000,0.0000,0.2519
